day,jacobi,time
1,1490.426718,0
2,2299.33012,4
3,1644.790215,2
4,1295.739964,2
5,1417.524977,2
6,1733.189181,5
7,1985.873948,9
8,2061.422251,10
9,1969.666585,11
300,1785.72172,6
11,1596.505685,7
12,1467.403006,8
13,1429.258214,5
14,1480.092687,17
15,1594.86993,39
16,1737.743857,41
17,1873.052243,66
18,1973.100077,52
19,2022.178966,37
20,2017.198625,77
21,1965.803814,104
22,1883.009858,116
23,1787.320294,151
24,1697.089654,132
25,1627.641189,85
26,1589.398961,70
27,1587.080662,168
28,1619.83872,220
29,1682.137009,185
30,1765.103908,224
31,1858.100127,262
32,1950.269434,191
33,2031.890293,166
34,2095.405586,345
35,2136.067133,311
36,2152.185426,382
37,2145.018387,347
38,2118.364233,392
39,2077.942216,250
40,2030.651899,259
41,1983.798796,631
42,1944.363679,515
43,1918.37713,581
44,1910.442534,483
45,1923.431516,572
46,1958.357831,464
47,2014.419809,479
48,2089.189366,953
49,2178.915945,936
50,2278.909724,985
51,2383.965578,996
52,2488.791886,1145
53,2588.411313,815
54,2678.507259,794
55,2755.695667,1521
56,2817.710489,1471
57,2863.497027,1423
58,2893.216197,1506
59,2908.164935,1734
60,2910.628577,1164
61,2903.677386,1117
62,2890.925991,1942
63,2876.275738,1961
64,2863.654007,1948
65,2856.769323,1884
66,2858.895581,1555
67,2872.695063,1493
68,2900.087353,1377
69,2942.172203,2642
70,2999.200565,2234
71,3070.598746,2389
72,3155.033691,2531
73,3250.521376,2530
74,3354.560766,1657
75,3464.288185,1552
76,3576.649324,3118
77,3688.562386,3070
78,3797.080188,3230
79,3899.536134,3217
80,3993.667284,3694
81,4077.710651,2270
82,4150.472146,1739
83,4211.357839,4181
84,4260.3778,3710
85,4298.128326,4052
86,4325.728286,4103
87,4344.749693,4132
88,4357.121771,2416
89,4365.016775,2002
90,4370.766539,4788
91,4376.699894,4423
92,4385.070562,4566
93,4397.949558,4310
94,4417.101266,4468
95,4443.963819,2822
96,4479.556968,2199
97,4524.449743,5453
98,4578.781421,4837
99,4642.175761,5073
100,4713.926104,5013
101,4792.899568,5159
102,4877.626168,3149
103,4966.416021,2468
104,5057.374633,6291
105,5148.568701,5873
106,5237.99601,5826
107,5323.79718,5471
108,5404.241488,5744
109,5477.806272,3231
110,5543.247652,2702
111,5599.711985,6690
112,5646.609894,6476
113,5683.847722,6180
114,5711.597688,6146
115,5730.388435,6162
116,5741.265627,3736
117,5745.295999,2610
118,5744.05728,7014
119,5739.121931,6617
120,5732.415457,6369
121,5725.519184,6342
122,5720.592877,6618
123,5718.999958,3779
124,5722.720149,3065
125,5732.880131,7563
126,5750.99519,7229
127,5777.455165,7696
128,5813.159616,7100
129,5858.159478,7121
130,5912.064918,3760
131,5974.777729,3103
132,6045.213751,7883
133,6122.287151,7927
134,6204.43029,7453
135,6290.059826,7059
136,6377.424875,7221
137,6464.229726,3927
138,6548.69045,3278
139,6628.644312,8927
140,6702.221594,8463
141,6767.438161,8864
142,6822.44291,8266
143,6866.103519,8050
144,6896.950931,4453
145,6913.809865,3501
146,6916.245524,9133
147,6903.709815,8660
148,6877.488365,8304
149,6836.268488,8097
150,6782.054972,8029
151,6715.483844,4211
152,6637.558354,3070
153,6550.346956,8527
154,6455.603369,8202
155,6355.459196,7674
156,6251.23239,7576
157,6145.911014,6739
158,6040.029332,3834
159,5937.886538,2563
160,5839.890087,7537
161,5749.059275,7393
162,5666.279965,7179
163,5594.167776,6678
164,5528.37588,6630
165,5477.988788,3682
166,5435.940693,2442
167,5411.516517,7271
168,5394.585844,6881
169,5391.384065,6501
170,5399.971168,6456
171,5415.678998,6219
172,5442.474007,3255
173,5477.733441,2340
174,5517.223452,6903
175,5560.674981,6732
176,5608.479815,6299
177,5656.440066,6031
178,5703.449088,6307
179,5744.010284,3163
180,5786.48307,2356
181,5819.86291,7099
182,5842.044308,6697
183,5856.553919,7037
184,5863.723719,6541
185,5867.015948,6337
186,5848.721668,3167
187,5824.189867,2245
188,5779.66567,7044
189,5739.991709,7155
190,5686.997349,6921
191,5620.566376,6300
192,5541.361479,6041
193,5461.426995,2906
194,5383.364099,2098
195,5298.250626,6428
196,5201.844755,6629
197,5110.157863,6065
198,5025.542003,5707
199,4935.828677,5506
200,4866.513858,2815
201,4779.273311,1918
202,4721.209355,6273
203,4668.019239,4372
204,4622.549817,2251
205,4586.236558,6416
206,4546.373198,5614
207,4549.740695,2822
208,4536.78054,1865
209,4542.81378,6323
210,4581.428614,6177
211,4620.999953,5834
212,4648.841498,5408
213,4707.16356,5287
214,4795.322047,2671
215,4871.930612,1840
216,4921.137005,6304
217,5037.564253,5964
218,5103.68642,5558
219,5171.941186,5293
220,5255.346294,5006
221,5347.152364,2458
222,5428.252566,1769
223,5479.143152,5934
224,5590.135272,5956
225,5644.083098,5775
226,5705.851871,5513
227,5766.133067,5666
228,5778.110749,3041
229,5832.683922,2218
230,5859.25834,6827
231,5888.808798,7135
232,5860.721857,6476
233,5865.193656,6466
234,5842.898587,6615
235,5863.659949,3354
236,5819.224587,2369
237,5753.739962,8233
238,5763.977972,8394
239,5698.258773,7420
240,5623.226181,7296
241,5614.366148,7235
242,5612.01493,3503
243,5598.99087,2474
244,5591.24358,8411
245,5594.334435,7949
246,5530.251294,7185
247,5551.714182,6873
248,5557.648047,6284
249,5578.359141,3019
250,5675.563328,2172
251,5594.773356,5171
252,5636.315563,8087
253,5747.353522,7637
254,5742.692103,7557
255,5872.144559,7098
256,5968.56038,3545
257,6025.482251,2652
258,6156.452863,8974
259,6226.440772,8939
260,6421.579306,8358
261,6457.115401,8151
262,6529.736706,7581
263,6658.308913,3908
264,6783.116461,2641
265,7069.965526,3313
266,7057.883839,9625
267,7053.81466,8719
268,7333.77784,8215
269,7345.855975,8395
270,7504.410974,4220
271,7508.122205,2785
272,7613.525742,10361
273,7660.990851,10287
274,7676.975949,9586
275,7844.553176,9600
276,8124.949156,9618
277,7903.995721,4896
278,8002.673608,3013
279,8027.681211,10934
280,7890.481043,11633
281,7946.607803,11466
282,8064.733396,11219
283,7947.450086,10915
284,8056.252813,5998
285,8237.81978,3178
286,7925.678117,13110
287,8122.882781,13007
288,8089.665745,12502
289,8060.781568,12756
290,8333.025494,12499
291,8064.220521,6902
292,8202.513152,3422
293,8314.911037,14381
294,8490.957591,14046
295,8634.310584,13331
296,8995.121005,12800
297,9023.771224,12551
298,8897.054744,6616
299,9062.287656,3799
300,9153.620403,14476
301,9130.243852,13887
302,9449.28245,12823
303,9990.130119,10480
304,9887.184446,2735
305,10078.23346,5933
306,10316.12258,4397
307,10215.74247,16224
308,10039.4115,16099
309,10703.89177,14728
310,10787.83987,12083
311,10789.6292,3413
312,11423.21424,6948
313,11018.97082,5274
314,11625.20303,18556
315,11285.36156,18821
316,11498.07578,18409
317,11583.50911,18766
318,12264.49725,18601
319,11530.20423,9842
320,11658.80812,5663
321,12208.31947,21044
322,12180.22992,19503
323,11724.05536,18651
324,12348.28473,18370
325,11700.14054,17514
326,12108.53383,9441
327,11674.70702,5329
328,11904.30215,19675
329,11351.23894,19046
330,11350.52401,17478
331,11448.27643,16925
332,10617.04972,16480
333,11266.35496,8803
334,10545.33287,4748
335,11053.90368,18196
336,10136.31653,17063
337,10682.17126,14919
338,10359.34332,14026
339,9672.478571,12367
340,10188.26169,6812
341,9338.665219,3709
342,9150.857384,4722
343,9022.927114,13447
344,8892.183176,11873
345,8326.071012,10835
346,8417.930778,10200
347,8405.946005,5345
348,7739.557318,2762
349,7730.297901,11671
350,7030.093948,9323
351,7173.076294,8532
352,7334.754936,7836
353,6976.398514,7723
354,6288.214368,4001
355,6226.563414,2172
356,6876.44565,8342
357,6190.401637,7802
358,5000.341316,7038
359,6328.460694,6982
360,5371.33465,6799
361,6002.557411,3433
362,5382.051854,2050
363,6208.116148,8649
364,6112.332277,7520
365,6193.230972,6878
366,5473.941993,6788
367,5496.572188,6886
368,4490.073732,3509
369,4977.851046,2116
370,5922.003285,8675
371,5910.944709,6955
372,5203.472559,6589
373,5355.789142,6334
374,4810.37729,6013
375,4564.32463,3066
376,5810.662145,2001
377,5294.692052,7093
378,5354.258746,5976
379,4546.566746,5529
380,4778.460878,5373
381,4208.501039,5267
382,3766.960648,2671
383,4962.144033,1562
384,5381.467697,2150
385,4957.551031,6784
386,6107.750482,5314
387,3363.93573,5042
388,4728.959925,4777
389,5424.013475,2441
390,4883.1916,1559
391,4908.857138,5947
392,3810.02283,5223
393,4573.157287,4670
394,5345.531074,4623
395,2874.872681,4201
396,5093.619986,2263
397,4779.134033,1328
398,4671.19595,5317
399,4066.310331,4462
400,4480.986639,4047
401,4357.789979,2096
402,3799.059083,1706
403,3920.240119,1617
404,4661.051287,1434
405,3768.313893,5561
406,4964.96597,4658
407,4036.068954,4425
408,4453.737873,4253
409,4763.526106,4063
410,4929.363061,2231
411,3079.193234,1210
412,4921.444831,5099
413,4307.348578,4257
414,4112.942946,3852
415,4029.301231,3783
416,3233.59645,3334
417,4080.118993,1690
418,2278.356137,1101
419,4414.786061,4350
420,2355.092186,3666
421,2727.49745,3639
422,3303.381402,3287
423,3934.194997,3191
424,2793.490057,1748
425,3950.991837,1072
426,3288.701164,3996
427,3723.775845,3460
428,3116.498722,3184
429,2336.674253,2981
430,4969.270331,2701
431,3735.062678,1002
432,5019.163458,956
433,2273.893109,3439
434,2055.091517,2905
435,4368.506402,2590
436,3698.101815,2779
437,3837.482574,2502
438,4082.967394,1280
439,2953.787932,782
440,3819.443015,1731
441,1254.137199,3199
442,1938.933763,2635
443,3519.031862,2374
444,2832.23721,2481
445,5385.540418,1212
446,3265.200858,773
447,3593.917978,2894
448,3088.069512,2581
449,3653.837989,2489
450,4265.771654,2413
451,2316.129967,2388
452,3546.761096,1150
453,2919.640251,799
454,4032.92866,2956
455,3391.455026,2717
456,1908.844047,2634
457,3715.163253,2558
458,3449.346791,2499
459,2858.757671,1139
460,3903.866063,932
461,4167.893967,3080
462,3074.231458,2808
463,3218.046092,2812
464,3409.654454,2655
465,2923.540793,2767
466,4533.062812,1350
467,4059.133073,843
468,3781.120771,3683
469,4717.198367,3589
470,2643.973219,3389
471,3606.706759,3308
472,2665.602807,3289
473,2894.989306,1710
474,2843.287638,1095
475,3584.134807,4217
476,5259.370809,3877
477,2771.297654,3937
478,3180.166131,3970
479,2527.090335,3973
480,4769.476737,2064
481,4527.91468,1272
482,3159.898928,5314
483,4480.191599,5178
484,5651.525037,5344
485,4245.72629,5343
486,4088.996664,5223
487,5086.702099,2749
488,5956.342723,1708
489,5766.624145,6965
490,5869.359477,6439
491,4189.319142,6263
492,6100.223015,6527
493,5575.591604,6771
494,6832.045185,3466
495,6680.692025,2268
496,7227.791659,9302
497,8441.312045,9318
498,8163.609237,10106
499,7999.753294,10118
500,9705.576857,10529
501,8722.918763,5323
502,8846.164924,3528
503,10480.30679,13965
504,9409.656997,14070
505,9493.186508,13947
506,10239.54857,13582
507,10335.3651,14100
508,10480.60571,6905
509,11794.90916,4688
510,11978.80596,18208
511,11939.20333,18365
512,12145.03535,17946
513,12261.25511,18864
514,12782.28208,18020
515,12496.27399,8730
516,13393.80695,6386
517,12872.24168,22782
518,12827.23062,22172
519,12886.77628,20708
520,13866.58068,21408
521,13054.52514,20126
522,13463.58057,9386
523,13306.0635,7335
524,14946.50305,23616
525,14138.23972,22984
526,15114.87966,21738
527,15715.76061,21974
528,15230.39011,21245
529,13704.94266,10089
530,14960.79574,7570
531,15091.24905,25605
532,15908.11284,24742
533,14107.1744,23151
534,14223.6652,22322
535,14953.10875,21661
536,13285.03332,9525
537,13915.31701,6787
538,14023.74729,24481
539,14478.29414,22004
540,14723.85216,20961
541,14454.29187,19076
542,14088.60938,18049
543,14048.82885,7668
544,13018.82683,5924
545,12545.82918,21305
546,13674.17454,18781
547,12801.1769,17319
548,13020.54685,16288
549,12972.91667,15730
550,12339.30933,7062
551,11307.3201,4814
552,10877.53844,17773
553,10228.9671,15638
554,10975.71151,14760
555,10801.28972,13942
556,10167.71272,13353
557,8750.669825,6367
558,9469.010236,4201
559,8931.052545,16005
560,8536.52674,13468
561,8540.107812,12203
562,8798.167466,12148
563,7624.361745,11876
564,8123.93772,5233
565,7270.214822,3746
566,7925.927876,13860
567,7274.653091,11763
568,7284.196086,7729
569,7316.782422,3838
570,7090.440292,11773
571,6871.158715,4722
572,6329.554229,3242
573,6696.171177,12795
574,6305.756038,10460
575,6847.487898,9954
576,6655.311395,8866
